Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J1411.8+5249,212.9692,52.8278,98.1735,60.2614,9.056974,2.0083102e-10,3.0924832e-11,2.2364677e-12,3.4761433e-13,PowerLaw,2.0219452,0.12006783,2413.4377,2.0350783,0.11435099,-0.021848883,0.046974324,0,bll,SBS 1410+530,0.998233,0.9865768,bzcat,212.956015292,52.8167286389,1.1e-07,RFC J1411+5249,Gaia DR2: 1608151758396007040,17.4823,0.07649,HSP,1566751000000000.0,2.1708009e-12,20.50281,0.6250737,0.23937054,32.5977
4FGL J1412.0+3836,213.013,38.6102,72.29781,69.62061,7.181065,1.3508669e-10,2.974205e-11,1.609205e-12,3.4474867e-13,PowerLaw,1.8513292,0.15480614,4436.707,1.8085883,0.20189284,0.035155367,0.08267679,0,bcu,FIRST J141208.2+383521,0.9940266,0.0,bllac,213.03419494628906,38.58919906616211,0.0045,,,nan,0.64552,ISP,173780080000000.0,1.7609296e-13,18.678942,0.58983994,0.2829834,25.6157
4FGL J1412.1+7427,213.0383,74.45,115.83426,41.54716,8.287944,2.2043821e-10,3.3480257e-11,2.7994334e-12,4.124916e-13,PowerLaw,2.357082,0.11167159,1258.0503,2.368717,0.11442382,-0.014580725,0.055649452,16,bll,GB6 J1411+7424,0.98127335,0.0,bllac,212.894408033,74.4082570389,2.1618001e-07,RFC J1411+7424,,nan,0.46,ISP,199526230000000.0,6.244404e-13,11.071016,0.2975616,0.21071565,48.0669
4FGL J1412.9+5018,213.2409,50.301,94.550095,62.095963,5.837069,1.0685998e-10,2.6398002e-11,2.0913362e-12,3.8365264e-13,PowerLaw,2.7076101,0.15598959,577.9113,2.7012086,0.17345643,0.010022038,0.09654451,260,bcu,SDSS J141302.28+501927.4,0.97291076,0.0,rfc,213.259531442,50.324240325,7.5e-07,RFC J1413+5019,Gaia DR2: 1511550968881304832,20.578,1.529,,0.0,0.0,23.547846,0.8453633,0.31392434,10.0
4FGL J1415.5+4830,213.8992,48.5142,91.21305,63.105434,23.837921,6.52018e-10,4.724696e-11,7.343328e-12,5.648092e-13,PowerLaw,1.9688796,0.053517878,2088.1187,1.9420718,0.06791164,0.023785178,0.03277895,0,bll,RX J1415.5+4830,0.9996096,0.9264215,bllac,213.903333604,48.5084586528,4.4e-07,RFC J1415+4830,Gaia DR2: 1508014351074848000,17.4976,0.496167,LSP,69984198000000.0,7.4308756e-13,162.02963,0.99915105,0.2774285,55.5821
4FGL J1416.1+1320,214.0285,13.347,2.274076,65.89202,14.443486,4.666306e-10,4.945349e-11,6.1973373e-12,5.4151117e-13,PowerLaw,2.405265,0.07084414,858.31616,2.2751637,0.11976082,0.16367042,0.0848922,0,bcu,PKS B1413+135,0.9968888,0.97730243,cgrabs,213.995072942,13.339920225,7.5e-08,RFC J1415+1320,,nan,0.247,LSP,6531305700000.0,9.787189e-12,33.97815,0.46022186,0.15638907,19.7358
4FGL J1416.1-2417,214.0334,-24.2982,326.5254,34.66357,9.298661,2.6363944e-10,4.4905135e-11,3.1571666e-12,5.341706e-13,PowerLaw,1.8433762,0.104324125,4273.295,1.7374736,0.15127046,0.111843355,0.07866659,0,bll,NVSS J141612-241812,0.99936396,0.9139126,bzcat,214.050733021,-24.3037558333,3.1e-07,RFC J1416-2418,Gaia DR2: 6275777732988505344,18.3146,0.136,HSP,1995262400000000.0,4.572082e-12,19.849485,0.75971335,0.30413643,72.9976
4FGL J1417.9+2543,214.494,25.7238,33.69584,70.599075,10.954149,1.7837788e-10,3.574499e-11,2.9296316e-12,5.2853365e-13,PowerLaw,1.536569,0.1075402,10403.913,1.4690732,0.14841944,0.06333332,0.07259589,0,bll,1E 1415.6+2557,0.9996118,0.99401575,bllac,214.486128054,25.723956775,2.6e-07,RFC J1417+2543,Gaia DR2: 1258924256705288832,17.4618,0.237,HSP,1.1481536e+17,9.690206e-12,4.5537586,0.0,10.0,265.918
4FGL J1418.4-0233,214.6058,-2.5594,341.58008,53.65509,56.08804,2.8980207e-09,1.0922674e-10,3.0710094e-11,1.5476417e-12,LogParabola,1.7901014,0.024050996,1835.9685,1.645534,0.04425533,0.07432354,0.017336667,0,bll,NVSS J141826-023336,0.99994874,0.9559551,bzcat,214.609696738,-2.55948353056,1.6e-07,RFC J1418-0233,Gaia DR2: 3646525747969570432,16.4408,0.356,HSP,5597576000000000.0,1.0875745e-11,65.19138,0.29488373,0.088513024,203.94
4FGL J1418.4+3543,214.6229,35.7192,63.21207,69.599205,65.69121,2.8836722e-09,9.568551e-11,2.8043111e-11,1.1150415e-12,LogParabola,2.106669,0.02154479,792.28754,2.0332894,0.031050032,0.047966085,0.014146174,0,BCU,87GB 141615.9+355650,1.0,0.96126103,identified,214.619090746,35.713739325,2.1e-07,RFC J1418+3542,Gaia DR2: 1480899299118857216,18.3189,2.085,HSP,2818383000000000.0,7.1439924e-13,1182.6285,1.0593842,0.2845201,50.1189
